1,64
2,54
3,52
4,79
5,55
6,58
7,54
8,50
9,59
10,60
11,60
12,51
13,58
14,56
15,54
16,47
17,72
18,49
19,32
20,52
21,52
22,37
23,31
24,54
25,72
26,45
27,43
28,56
29,35
30,59
31,61
32,41
33,54
34,30
35,13
36,34
37,66
38,73
39,54
40,32
41,38
42,43
43,58
44,73
45,38
46,49
47,38
48,57
49,35
50,52
51,46
52,57
53,33
54,26
55,69
56,61
57,44
58,48
59,71
60,34
61,75
62,33
63,41
64,46
65,77
66,24
67,44
68,46
69,50
70,22
71,54
72,53
73,60
74,33
75,67
76,63
77,60
78,47
79,48
80,46
81,68
82,74
83,58
84,49
85,51
86,38
87,45
88,50
89,50
90,52
91,48
92,45
93,29
94,42
95,53
96,56
97,38
98,57
99,51
100,63
101,51
102,38
103,40
104,87
105,56
106,25
107,46
108,71
109,49
110,64
111,40
112,25
113,66
114,70
115,34
116,63
117,35
118,43
119,37
120,52
121,58
122,62
123,52
124,51
125,61
126,39
127,67
128,38
129,56
130,67
131,37
132,74
133,56
134,62
135,70
136,46
137,47
138,58
139,66
140,53
141,28
142,70
143,43
144,41
145,64
146,44
147,44
148,38
149,59
150,57
151,53
152,42
153,53
154,45
155,53
156,26
157,56
158,42
159,40
160,26
161,56
162,69
163,56
164,49
165,31
166,73
167,47
168,60
169,54
170,50
171,39
172,39
173,47
174,31
175,43
176,57
177,53
178,58
179,60
180,30
181,64
182,25
183,28
184,30
185,42
186,64
187,32
188,71
189,34
190,37
191,53
192,38
193,24
194,49
195,38
196,51
197,71
198,59
199,54
200,57
201,47
202,53
203,50
204,61
205,46
206,44
207,47
208,68
209,32
210,42
211,61
212,31
213,53
214,70
215,28
216,45
217,35
218,68
219,50
220,56
221,50
222,74
223,67
224,63
225,26
226,47
227,34
228,48
229,51
230,66
231,64
232,62
233,56
234,57
235,25
236,61
237,55
238,58
239,55
240,65
241,28
242,74
243,56
244,59
245,53
246,37
247,50
248,34
249,40
250,49
251,45
252,22
253,48
254,51
255,66
256,53
257,22
258,64
259,32
260,60
261,30
262,20
263,64
264,40
265,50
266,31
267,51
268,42
269,73
270,42
271,73
272,53
273,36
274,59
275,63
276,47
277,56
278,62
279,41
280,56
281,38
282,51
283,56
284,57
285,32
286,48
287,57
288,41
289,55
290,38
291,40
292,24
293,64
294,51
295,51
